text,category
"In addition, we would like to request ROTC officers. To help out for the celebration of Acquaintance Party",letter
"In this regard, we would like to respectfully request the participation of Chorale to lead the singing of the Opening Prayer.",letter
Government (UASG) will be organizing an official meet and greet.This event aims to formally introduce the newly elected officers,letter
Every program will have its own intermission number as part of the program flow.to perform on our Year-End Party.,letter
UA Student Government would like to request for the sponsorship.struggle in budgeting the UASG funds,letter
we would like to request from your good office the participation of the dance club during intermission number .conducting Year-End Party,letter
"UASG, invite to serve as one of the esteemed judge.Christmas Village Making Contest, ",letter
we would like to invite your honorable to be our guest speaker and give inspirational message to the students.support for the upcoming Acquaintance Party,letter
"to formally invite you to our Year-End Party.will be held on December 19, 2024 at 8:00 AM in the Bandoja Activity Center",letter
"Moreover, this training aims to develop leadership skills, teamwork, and discipline among the participants.UASG will conduct a Leadership Training.",letter
"Furthermore, I am writing this letter to formally request the assistance of  ROTC officers.UASG will conduct a Leadership Training ",letter
Government UASG will implement a One Gate Policy. for security and crowd management purposes. ,letter
"In line with this, we respectfully request from your good office to please allow us to borrow your foam machine. For upcoming Maninihon Festival ",letter
"In addition, the organization agreed that each student requires tickets. UASG will be holding its year-end party at the Bandoja Activity Center.",letter
 the UA Student Government would like to request for the sponsorship for the Sound System.To celebrate and facilitate the Year-End Party,letter
"Moreover, the increasing number of students violating this rule is worrisome and their behavior.to request permission of calling out the attention of the students who violated ",letter
"Anent to this, we would like to invite you, Honorable, to be one of our guest speakers. Leadership Training at the Recreational Fitness Center.  ",letter
"In line with this, we respectfully seek your assistance in providing steel barricades to ensure proper crowd control and the safety.to inform that we will be holding our Year-End Party",letter
"we would like to request from your good office to please excuse the following student government officers from  their respective classes.YouthLead Philippines at the Teacher’s Camp, Baguio City.",letter
"In line with this, we would like to request the assistance of your team.A preparation for the upcoming Maninihon Festival Color Fun Run",letter
"In line with this, we would like to request the assistance of ERG in the Acquaintance Party on October 22, 2025 at 1:00 pm to 7:00 pm.",letter
"In line with this, we would like to seek approval from your good office to please allow us to have our Do-Day on  December 18, 2024 at 3:00-5:00pm",letter
"resolved further, that all attendees are required to present their tickets for admission. Resolution to collect compulsory peso ticket",resolution
"whereas, each college must prepare a Riso paper based on the population of the students on their department, it is to be used during the election; Resolution to conduct a Synchronous provincial and local organization elections",resolution
"whereas, a compulsory raffle ticket fee of 0.99 peso per ticket is proposed, with each student required to purchase twenty (20) raffle tickets. Resolution to collect compulsory peso ticket",resolution
"whereas, the Regular Session held on November 18, 2025. the body, together with the governors, agreed to implement the compulsory ticket collection for all students. Resolution to collect compulsory peso ticket",resolution
"whereas, the Class Mayors will be the one to collect the raffle ticket fee of their class section and remit it afterwards to the UASG Treasurer until December 15, 2025. Resolution to collect compulsory peso ticket",resolution
"whereas, during the Meeting held online, the body agreed to conduct a synchronized election for the Provincial,and  Local Organization . Resolution to conduct a Synchronous provincial and local organization elections",resolution
"whereas, it is a duty and responsibility of every student to exercise their votes in choosing the student leader.Resolution to conduct a Synchronous provincial and local organization elections",resolution
"be it further resolved, that an Elections Committee will be set up by Student Government to oversee and manage the elections..Resolution to conduct a Synchronous provincial and local organization elections",resolution
"whereas, UASG officers agreed for the decision during the virtual meeting held on June 23, 2025, at 5:00 PM. Resolution to purchase a uniform of Student Government Official",resolution
"whereas, the uniform shall be worn during official Student Government events, meetings, and other activities as deemed necessary. Resolution to purchase a uniform of Student Government Official",resolution
"therefore, that a resolution to purchase uniform be approved into office. Resolution to purchase a uniform of Student Government Official",resolution
"whereas, the said activity is scheduled on December 6, 2025, and aims to foster community spirit and provide assistance to identify learners in need. Resolution to conduct a community outreach program",resolution
"whereas, the UASG recognizes the need for reliable transportation to effectively facilitate the transport of essential materials, including gifts collected. Resolution to conduct a community outreach program",resolution
"resolved further, the UASG officers shall provide clear communication and guidelines to all recipients to ensure smooth and successful event. Resolution to conduct a community outreach program",resolution
"whereas, a special meeting was conducted on September 16, 2025, at 4:20 o’clock in the afternoon at the Pag-amUmA Center. Resolution to re-align the UA convention and fundation day budget to acquiantance party",resolution
"whereas, attendance in the activity shall be required to all students to ensure maximum participation as this activity. Resolution to re-align the UA convention and fundation day budget to acquiantance party",resolution
"whereas, on the motion made by Rep. duly seconded en masse; the body approved the proposed re-alignment. Resolution to re-align the UA convention and fundation day budget to acquiantance party",resolution
"be it resolved, as it is hereby resolved, that the resolution to re-align the Oath Taking budget and Convention and Foundation Day budget to Acquaintance Party be approved.  Resolution to re-align the UA convention and fundation day budget to acquiantance party",resolution
